iter	Passed	Remaining
0	47	56601
1	86	51561
2	125	50086
3	161	48355
4	194	46441
5	230	45912
6	262	44716
7	280	41867
8	296	39268
9	315	37547
10	333	36085
11	353	35036
12	389	35551
13	429	36373
14	459	36291
15	482	35738
16	504	35076
17	526	34600
18	547	34001
19	566	33399
20	587	32972
21	609	32630
22	638	32653
23	665	32611
24	690	32439
25	713	32198
26	734	31922
27	755	31610
28	775	31313
29	795	31017
30	817	30819
31	837	30556
32	855	30255
33	877	30104
34	900	29974
35	923	29853
36	942	29634
37	960	29377
38	979	29166
39	1000	29003
40	1019	28830
41	1036	28584
42	1052	28329
43	1069	28086
44	1085	27848
45	1101	27622
46	1117	27420
47	1133	27215
48	1150	27014
49	1166	26833
50	1181	26627
51	1198	26456
52	1214	26276
53	1230	26111
54	1246	25951
55	1262	25799
56	1279	25652
57	1297	25541
58	1313	25403
59	1329	25267
60	1346	25132
61	1362	25007
62	1378	24871
63	1394	24760
64	1411	24647
65	1427	24526
66	1444	24421
67	1459	24303
68	1476	24194
69	1491	24082
70	1508	23989
71	1525	23899
72	1540	23789
73	1557	23697
74	1572	23590
75	1588	23496
76	1606	23434
77	1622	23340
78	1638	23253
79	1655	23176
80	1670	23083
81	1687	23006
82	1700	22886
83	1716	22799
84	1732	22729
85	1748	22651
86	1762	22552
87	1778	22470
88	1794	22401
89	1810	22326
90	1826	22256
91	1842	22192
92	1857	22107
93	1872	22036
94	1890	21987
95	1907	21932
96	1923	21868
97	1941	21831
98	1957	21773
99	1974	21718
100	1992	21676
101	2112	22736
102	2134	22735
103	2155	22716
104	2176	22696
105	2196	22670
106	2216	22638
107	2236	22612
108	2256	22587
109	2276	22561
110	2307	22635
111	2327	22611
112	2343	22546
113	2360	22485
114	2375	22411
115	2392	22353
116	2408	22292
117	2424	22227
118	2439	22164
119	2455	22097
120	2470	22029
121	2486	21971
122	2502	21908
123	2518	21856
124	2535	21808
125	2552	21753
126	2567	21690
127	2582	21629
128	2598	21576
129	2616	21537
130	2634	21497
131	2651	21453
132	2667	21397
133	2683	21344
134	2699	21292
135	2715	21247
136	2732	21200
137	2748	21151
138	2764	21105
139	2781	21057
140	2797	21011
141	2815	20977
142	2832	20935
143	2846	20876
144	2861	20823
145	2878	20777
146	2894	20730
147	2911	20693
148	2926	20645
149	2943	20602
150	2959	20559
151	2975	20514
152	2991	20473
153	3008	20431
154	3023	20385
155	3039	20341
156	3055	20296
157	3071	20258
158	3083	20190
159	3100	20155
160	3117	20120
161	3133	20079
162	3150	20040
163	3167	20007
164	3183	19968
165	3200	19933
166	3216	19895
167	3232	19855
168	3248	19820
169	3264	19781
170	3280	19742
171	3298	19711
172	3313	19672
173	3330	19635
174	3346	19602
175	3363	19568
176	3379	19530
177	3397	19504
178	3412	19464
179	3428	19429
180	3444	19393
181	3461	19360
182	3477	19325
183	3494	19296
184	3511	19266
185	3528	19237
186	3544	19201
187	3560	19168
188	3577	19136
189	3593	19103
190	3610	19071
191	3627	19043
192	3639	18988
193	3656	18959
194	3672	18927
195	3689	18897
196	3706	18870
197	3724	18847
198	3740	18817
199	3756	18784
200	3773	18754
201	3789	18724
202	3807	18697
203	3823	18667
204	3839	18637
205	3854	18600
206	3871	18572
207	3888	18542
208	3904	18514
209	3921	18488
210	3938	18460
211	3954	18430
212	3971	18401
213	3987	18373
214	4004	18345
215	4021	18319
216	4038	18296
217	4054	18265
218	4067	18220
219	4083	18189
220	4099	18158
221	4116	18136
222	4133	18109
223	4150	18082
224	4165	18050
225	4182	18026
226	4198	17997
227	4215	17973
228	4233	17949
229	4250	17924
230	4266	17898
231	4284	17876
232	4302	17855
233	4320	17836
234	4334	17797
235	4351	17774
236	4367	17745
237	4384	17723
238	4402	17703
239	4422	17689
240	4440	17670
241	4458	17648
242	4476	17629
243	4494	17608
244	4512	17591
245	4530	17570
246	4548	17550
247	4566	17530
248	4585	17513
249	4604	17497
250	4623	17480
251	4641	17462
252	4659	17440
253	4677	17420
254	4696	17404
255	4714	17386
256	4727	17346
257	4745	17328
258	4764	17311
259	4782	17291
260	4800	17269
261	4818	17252
262	4836	17231
263	4854	17212
264	4866	17170
265	4884	17151
266	4903	17134
267	4921	17113
268	4940	17097
269	4957	17075
270	4975	17055
271	4993	17036
272	5011	17018
273	5024	16979
274	5041	16957
275	5057	16932
276	5075	16912
277	5094	16895
278	5114	16884
279	5133	16866
280	5151	16847
281	5170	16830
282	5187	16810
283	5208	16800
284	5227	16783
285	5246	16766
286	5264	16748
287	5284	16732
288	5304	16719
289	5322	16700
290	5340	16681
291	5358	16661
292	5369	16621
293	5386	16599
294	5402	16572
295	5419	16552
296	5436	16529
297	5454	16510
298	5471	16488
299	5489	16469
300	5507	16450
301	5526	16432
302	5544	16414
303	5561	16392
304	5579	16372
305	5598	16355
306	5619	16346
307	5638	16328
308	5660	16322
309	5681	16311
310	5699	16291
311	5710	16252
312	5731	16243
313	5753	16233
314	5773	16222
315	5793	16206
316	5812	16191
317	5830	16170
318	5849	16154
319	5871	16147
320	5888	16125
321	5907	16108
322	5926	16092
323	5945	16076
324	5964	16059
325	5984	16043
326	6003	16026
327	6022	16011
328	6042	15996
329	6060	15976
330	6077	15956
331	6096	15938
332	6117	15927
333	6136	15909
334	6154	15891
335	6173	15873
336	6191	15856
337	6211	15840
338	6229	15823
339	6248	15805
340	6268	15789
341	6286	15770
342	6304	15752
343	6323	15736
344	6343	15719
345	6360	15700
346	6378	15679
347	6387	15638
348	6407	15623
349	6425	15604
350	6443	15586
351	6461	15566
352	6473	15533
353	6492	15514
354	6510	15497
355	6529	15480
356	6548	15462
357	6566	15444
358	6586	15429
359	6606	15414
360	6626	15400
361	6644	15380
362	6663	15363
363	6682	15346
364	6701	15330
365	6720	15313
366	6739	15296
367	6758	15279
368	6776	15261
369	6795	15244
370	6815	15228
371	6834	15212
372	6854	15197
373	6873	15180
374	6891	15162
375	6910	15144
376	6929	15128
377	6948	15110
378	6968	15095
379	6987	15077
380	7006	15061
381	7026	15046
382	7046	15030
383	7065	15013
384	7083	14995
385	7103	14979
386	7124	14966
387	7143	14950
388	7162	14931
389	7180	14914
390	7197	14892
391	7217	14876
392	7235	14858
393	7255	14841
394	7273	14823
395	7292	14805
396	7309	14785
397	7330	14770
398	7348	14752
399	7367	14734
400	7386	14716
401	7404	14698
402	7423	14681
403	7441	14662
404	7460	14644
405	7480	14628
406	7498	14610
407	7517	14593
408	7535	14574
409	7555	14558
410	7575	14542
411	7593	14524
412	7613	14508
413	7632	14491
414	7654	14479
415	7673	14462
416	7693	14445
417	7712	14429
418	7731	14411
419	7750	14393
420	7768	14374
421	7787	14356
422	7805	14338
423	7825	14322
424	7844	14304
425	7863	14286
426	7881	14267
427	7899	14247
428	7919	14232
429	7938	14216
430	7957	14197
431	7976	14180
432	7995	14162
433	8014	14144
434	8031	14125
435	8050	14107
436	8069	14089
437	8088	14071
438	8106	14053
439	8127	14038
440	8146	14020
441	8164	14001
442	8183	13983
443	8201	13963
444	8220	13946
445	8238	13928
446	8256	13908
447	8274	13889
448	8293	13872
449	8313	13855
450	8332	13838
451	8351	13821
452	8371	13804
453	8393	13792
454	8412	13774
455	8432	13758
456	8451	13740
457	8470	13723
458	8489	13704
459	8507	13685
460	8526	13668
461	8544	13649
462	8564	13632
463	8582	13614
464	8602	13597
465	8622	13582
466	8640	13561
467	8658	13543
468	8678	13526
469	8698	13510
470	8718	13493
471	8737	13477
472	8756	13458
473	8775	13441
474	8793	13422
475	8813	13405
476	8832	13387
477	8852	13371
478	8871	13352
479	8888	13333
480	8907	13315
481	8928	13299
482	8947	13281
483	8967	13265
484	8986	13248
485	9005	13230
486	9024	13212
487	9043	13194
488	9061	13175
489	9079	13156
490	9099	13138
491	9120	13124
492	9136	13101
493	9154	13082
494	9172	13064
495	9191	13046
496	9211	13029
497	9231	13012
498	9250	12995
499	9270	12978
500	9286	12956
501	9305	12938
502	9324	12920
503	9343	12903
504	9362	12885
505	9380	12865
506	9398	12846
507	9417	12828
508	9435	12809
509	9453	12790
510	9473	12773
511	9491	12754
512	9510	12736
513	9530	12720
514	9549	12701
515	9566	12681
516	9586	12664
517	9605	12647
518	9625	12630
519	9645	12613
520	9664	12595
521	9682	12576
522	9701	12558
523	9721	12541
524	9740	12523
525	9758	12504
526	9777	12486
527	9796	12467
528	9815	12450
529	9833	12431
530	9851	12412
531	9871	12395
532	9890	12377
533	9911	12361
534	9929	12342
535	9947	12323
536	9966	12304
537	9985	12287
538	10005	12270
539	10023	12250
540	10043	12234
541	10061	12215
542	10079	12196
543	10098	12177
544	10119	12161
545	10138	12143
546	10157	12125
547	10175	12106
548	10194	12088
549	10212	12069
550	10231	12051
551	10251	12034
552	10271	12017
553	10290	11999
554	10309	11980
555	10328	11963
556	10347	11944
557	10365	11926
558	10384	11908
559	10403	11889
560	10423	11873
561	10442	11854
562	10461	11836
563	10479	11817
564	10498	11799
565	10517	11781
566	10537	11764
567	10556	11746
568	10574	11727
569	10593	11708
570	10612	11690
571	10634	11675
572	10652	11656
573	10671	11638
574	10690	11619
575	10708	11601
576	10729	11584
577	10748	11566
578	10767	11549
579	10786	11530
580	10805	11511
581	10824	11493
582	10844	11476
583	10862	11458
584	10880	11438
585	10901	11421
586	10922	11405
587	10942	11389
588	10961	11371
589	10980	11353
590	11000	11335
591	11020	11318
592	11039	11299
593	11058	11282
594	11078	11264
595	11096	11245
596	11116	11228
597	11136	11210
598	11155	11192
599	11173	11173
600	11192	11155
601	11211	11137
602	11231	11120
603	11251	11102
604	11269	11083
605	11288	11064
606	11306	11046
607	11326	11028
608	11345	11010
609	11363	10991
610	11384	10974
611	11403	10956
612	11423	10939
613	11442	10920
614	11460	10901
615	11479	10882
616	11497	10863
617	11515	10844
618	11535	10827
619	11555	10809
620	11573	10791
621	11592	10772
622	11612	10755
623	11633	10738
624	11652	10720
625	11672	10702
626	11690	10683
627	11710	10666
628	11730	10648
629	11749	10630
630	11768	10612
631	11787	10593
632	11806	10575
633	11825	10557
634	11845	10539
635	11864	10521
636	11882	10501
637	11901	10483
638	11920	10465
639	11940	10447
640	11959	10429
641	11978	10411
642	11997	10393
643	12016	10374
644	12037	10357
645	12055	10338
646	12072	10318
647	12091	10300
648	12110	10282
649	12131	10265
650	12150	10246
651	12168	10227
652	12187	10209
653	12206	10191
654	12226	10173
655	12246	10155
656	12264	10136
657	12283	10117
658	12301	10099
659	12321	10081
660	12341	10063
661	12359	10044
662	12377	10025
663	12396	10007
664	12416	9989
665	12436	9971
666	12456	9953
667	12474	9935
668	12493	9916
669	12512	9897
670	12532	9879
671	12550	9861
672	12570	9843
673	12589	9824
674	12607	9805
675	12628	9789
676	12647	9770
677	12666	9752
678	12685	9733
679	12704	9715
680	12725	9698
681	12744	9680
682	12763	9661
683	12782	9642
684	12801	9624
685	12821	9607
686	12841	9588
687	12858	9569
688	12876	9550
689	12895	9531
690	12914	9512
691	12933	9494
692	12954	9477
693	12972	9458
694	12991	9440
695	13010	9421
696	13030	9403
697	13048	9384
698	13069	9367
699	13088	9348
700	13106	9329
701	13125	9311
702	13145	9293
703	13165	9275
